DDT Code,DDT Name,IW Code,LOC Code,IW Code printed on Ticket,Coolant,,Oil Filter,,Air Filter,,Brake Fluid,,Spark Plug,,CLUTCH - BEARING,,CLUTCH - COVER ASSY,,CLUTCH - CYLINDER ASSY,,CLUTCH - DISC,,CLUTCH - SET,,Clutch Kit,,Brake Pad,,Brake Shoe,,BEARING -Wheel,,HEADLAMP,,TAIL LIGHT,, AIR DRYING SEALER,,MASKING TAPE,,SEALENT,,RUST SMASH,,Total Tickets
KA01,Nema Auto Spares,WKA0128632,KOL,KOL-WKA0128632,5,0128632CO-111830-5,11,0128632OF-111825-11,4,0128632AF-111825-4,1,0128632BF-111820-1,11,0128632SP-111830-11,2,0128632CB-111820-2,0,-,1,0128632CYA-11186-1,0,-,2,0128632CS-111832-2,0,-,3,0128632BP-111822-3,2,0128632BS-111827-2,6,0128632WB-111830-6,2,0128632HL-111827-2,2,0128632TL-111823-2,1,0128632ADS-111830-1,1,0128632MT-111832-1,1,0128632SEA-111830-1,1,0128632RS-111827-1,17
KA01,Nema Auto Spares,WKA0141111,HLY,HLY-WKA0141111,5,0141111CO-111831-5,0,-,4,0141111AF-111826-4,0,-,11,0141111SP-111831-11,2,0141111CB-111821-2,2,0141111COA-111813-2,0,-,2,0141111CD-111812-2,2,0141111CS-111833-2,0,-,3,0141111BP-111823-3,2,0141111BS-111828-2,6,0141111WB-111831-6,2,0141111HL-111828-2,0,-,1,0141111ADS-111831-1,1,0141111MT-111833-1,1,0141111SEA-111831-1,1,0141111RS-111828-1,15
KA01,Nema Auto Spares,WKA0163153,KOL,KOL-WKA0163153,5,0163153CO-111832-5,11,0163153OF-111826-11,4,0163153AF-111827-4,1,0163153BF-111821-1,11,0163153SP-111832-11,2,0163153CB-111822-2,0,-,0,-,0,-,2,0163153CS-111834-2,0,-,3,0163153BP-111824-3,2,0163153BS-111829-2,6,0163153WB-111832-6,2,0163153HL-111829-2,2,0163153TL-111824-2,1,0163153ADS-111832-1,1,0163153MT-111834-1,1,0163153SEA-111832-1,1,0163153RS-111829-1,16
KA01,Nema Auto Spares,WKA0122329,KOL,KOL-WKA0122329,5,0122329CO-111833-5,11,0122329OF-111827-11,4,0122329AF-111828-4,0,-,11,0122329SP-111833-11,2,0122329CB-111823-2,0,-,0,-,0,-,2,0122329CS-111835-2,1,0122329CK-111818-1,3,0122329BP-111825-3,2,0122329BS-111830-2,6,0122329WB-111833-6,2,0122329HL-111830-2,0,-,1,0122329ADS-111833-1,1,0122329MT-111835-1,0,-,0,-,13
KA01,Nema Auto Spares,WKA0115004,RAJ,RAJ-WKA0115004,5,0115004CO-111834-5,11,0115004OF-111828-11,0,-,0,-,11,0115004SP-111834-11,0,-,0,-,1,0115004CYA-11187-1,0,-,2,0115004CS-111836-2,1,0115004CK-111819-1,0,-,2,0115004BS-111831-2,6,0115004WB-111834-6,2,0115004HL-111831-2,0,-,1,0115004ADS-111834-1,1,0115004MT-111836-1,1,0115004SEA-111833-1,1,0115004RS-111830-1,13
KA01,Nema Auto Spares,WKA0128633,KOL,KOL-WKA0128633,5,0128633CO-111835-5,11,0128633OF-111829-11,4,0128633AF-111829-4,1,0128633BF-111822-1,11,0128633SP-111835-11,2,0128633CB-111824-2,2,0128633COA-111814-2,0,-,2,0128633CD-111813-2,2,0128633CS-111837-2,0,-,3,0128633BP-111826-3,2,0128633BS-111832-2,6,0128633WB-111835-6,0,-,2,0128633TL-111825-2,1,0128633ADS-111835-1,1,0128633MT-111837-1,1,0128633SEA-111834-1,1,0128633RS-111831-1,17
KA01,Nema Auto Spares,WKA0125217,HLY,HLY-WKA0125217,5,0125217CO-111836-5,11,0125217OF-111830-11,4,0125217AF-111830-4,0,-,11,0125217SP-111836-11,2,0125217CB-111825-2,2,0125217COA-111815-2,0,-,2,0125217CD-111814-2,2,0125217CS-111838-2,0,-,3,0125217BP-111827-3,2,0125217BS-111833-2,6,0125217WB-111836-6,2,0125217HL-111832-2,2,0125217TL-111826-2,1,0125217ADS-111836-1,1,0125217MT-111838-1,1,0125217SEA-111835-1,1,0125217RS-111832-1,17
KA01,Nema Auto Spares,WKA0120582,HLY,HLY-WKA0120582,5,0120582CO-111837-5,11,0120582OF-111831-11,4,0120582AF-111831-4,0,-,11,0120582SP-111837-11,2,0120582CB-111826-2,2,0120582COA-111816-2,0,-,0,-,2,0120582CS-111839-2,0,-,0,-,2,0120582BS-111834-2,6,0120582WB-111837-6,2,0120582HL-111833-2,2,0120582TL-111827-2,1,0120582ADS-111837-1,1,0120582MT-111839-1,1,0120582SEA-111836-1,0,-,14
KA01,Nema Auto Spares,WKA0120056,KOL,KOL-WKA0120056,5,0120056CO-111838-5,11,0120056OF-111832-11,4,0120056AF-111832-4,0,-,11,0120056SP-111838-11,0,-,0,-,0,-,0,-,2,0120056CS-111840-2,1,0120056CK-111820-1,0,-,2,0120056BS-111835-2,6,0120056WB-111838-6,2,0120056HL-111834-2,0,-,1,0120056ADS-111838-1,1,0120056MT-111840-1,1,0120056SEA-111837-1,0,-,12
KA01,Nema Auto Spares,WKA0124874,KAO,KAO-WKA0124874,5,0124874CO-111839-5,11,0124874OF-111833-11,4,0124874AF-111833-4,1,0124874BF-111823-1,11,0124874SP-111839-11,2,0124874CB-111827-2,0,-,0,-,0,-,2,0124874CS-111841-2,0,-,0,-,2,0124874BS-111836-2,6,0124874WB-111839-6,2,0124874HL-111835-2,2,0124874TL-111828-2,1,0124874ADS-111839-1,1,0124874MT-111841-1,1,0124874SEA-111838-1,1,0124874RS-111833-1,15
