DDT Code,DDT Name,IW Code
KA02,Essarr Automotives,WKA0210390
KA02,Essarr Automotives,WKA0218641
KA02,Essarr Automotives,WKA0219874
KA02,Essarr Automotives,WKA0220038
KA02,Essarr Automotives,WKA0221437
KA02,Essarr Automotives,WKA0209188
KA02,Essarr Automotives,WKA0219661
KA02,Essarr Automotives,WKA0226019
KA02,Essarr Automotives,WKA0207027
KA02,Essarr Automotives,WKA0220123
KA02,Essarr Automotives,WKA020135964
KA02,Essarr Automotives,WKA0218530
KA02,Essarr Automotives,WKA020147888
KA02,Essarr Automotives,WKA0219850
KA01,Nema Auto Spares,WKA0228370
KA02,Essarr Automotives,WKA0208954
KA02,Essarr Automotives,WKA0234910
KA02,Essarr Automotives,WKA0224636
KA02,Essarr Automotives,WKA0293204
KA02,Essarr Automotives,WKA0219933
KA02,Essarr Automotives,WKA0221354
KA02,Essarr Automotives,WKA0218699
KA02,Essarr Automotives,WKA0209186
KA02,Essarr Automotives,WKA0218268
KA02,Essarr Automotives,WKA020125087
KA02,Essarr Automotives,WKA0208947
KA02,Essarr Automotives,WKA0209780
KA02,Essarr Automotives,WKA0208752
KA02,Essarr Automotives,WKA0207823
KA02,Essarr Automotives,WKA0221341
KA02,Essarr Automotives,WKA0208916
KA02,Essarr Automotives,WKA0209281
KA02,Essarr Automotives,WKA020125244
KA02,Essarr Automotives,WKA0220923
KA02,Essarr Automotives,WKA0234895
KA02,Essarr Automotives,WKA0229945
KA02,Essarr Automotives,WKA0219833
KA02,Essarr Automotives,WKA020126122
KA02,Essarr Automotives,WKA0256745
KA02,Essarr Automotives,WKA0209177
KA02,Essarr Automotives,WKA0254892
KA02,Essarr Automotives,WKA0220956
KA02,Essarr Automotives,WKA020152484
KA02,Essarr Automotives,WKA0250061
KA02,Essarr Automotives,WKA0290785
KA02,Essarr Automotives,WKA0208298
KA02,Essarr Automotives,WKA0208280
KA02,Essarr Automotives,WKA0227153
KA02,Essarr Automotives,WKA0222951
KA02,Essarr Automotives,WKA0293604
KA02,Essarr Automotives,WKA0288843
KA02,Essarr Automotives,WKA0211736
KA02,Essarr Automotives,WKA0218662
KA02,Essarr Automotives,WKA0277163
KA02,Essarr Automotives,WKA0206694
KA02,Essarr Automotives,WKA0238725
KA02,Essarr Automotives,WKA0208754
KA02,Essarr Automotives,WKA0232115
KA02,Essarr Automotives,WKA0260393
KA02,Essarr Automotives,WKA0209736
KA02,Essarr Automotives,WKA0250054
KA02,Essarr Automotives,WKA0223704
KA02,Essarr Automotives,WKA020147066
KA02,Essarr Automotives,WKA0208962
KA02,Essarr Automotives,WKA0266290
KA02,Essarr Automotives,WKA0209181
KA02,Essarr Automotives,WKA0207556
KA02,Essarr Automotives,WKA020142872
KA02,Essarr Automotives,WKA0208188
KA02,Essarr Automotives,WKA020125083
KA02,Essarr Automotives,WKA0222780
KA02,Essarr Automotives,WKA0206701
KA02,Essarr Automotives,WKA0224779
KA02,Essarr Automotives,WKA0229692
KA02,Essarr Automotives,WKA0275026
KA02,Essarr Automotives,WKA0209739
KA02,Essarr Automotives,WKA0263093
KA02,Essarr Automotives,WKA0266753
KA02,Essarr Automotives,WKA0207106
KA02,Essarr Automotives,WKA0209288
KA02,Essarr Automotives,WKA0232544
KA02,Essarr Automotives,WKA0250401
KA02,Essarr Automotives,WKA0232403
KA02,Essarr Automotives,WKA0206824
KA02,Essarr Automotives,WKA0210223
KA02,Essarr Automotives,WKA0219282
