DDT Code,DDT Name,IW Code,LOC Code,IW Category,COOLANT,Value,OIL FILTER,AIR FILTER - INLET,Till Date,Variance,BELT - BELT WATER PUMP,Till Date,Variance,BRAKE FLUID,Till Date,Variance,FUEL FILTER,Till Date,Variance,SERVICE KIT,Till Date,Variance,SPARK PLUG,Till Date,Variance,SPARK PLUG-Heater,Till Date,Variance,Value,CLUTCH - BEARING,Value,CLUTCH - COVER ASSY,Value,CLUTCH - CYLINDER ASSY,Value,CLUTCH - DISC,Value,CLUTCH - SET,Value,CLUTCH KIT,Value,BRAKE PAD,Value,BRAKE SHOE,Value,ARM ASSY - FRONT,Value,ARM ASSY - REAR,Value,SHOCK ABSORBER,Value,STRUTS - STRUT ASSY,Value,STRUTS - STRUT SET,STEERING - CASE SET,Till Date,Variance,STEERING - GEAR BOX ASSY,Till Date,Variance,STEERING - SHAFT ASSY,Till Date,Variance,STEERING - TIE ROD END,Till Date,Variance,BEARING -Wheel,Till Date,Variance,BELT - TIMING,Till Date,Variance,BULBS,Till Date,Variance, FRONT,Till Date,Variance,INTERMEDIATE,Till Date,Variance,HORN ASSY,Till Date,Variance,FUEL PUMP,Till Date,Variance,WEATHERSTRIP,Till Date,Variance,WINDSHIELD,Till Date,Variance,HEADLAMP,Till Date,Variance,TAIL LIGHT,Till Date,Variance,RADIATOR,Till Date,Variance, AIR DRYING SEALER,Till Date,Variance,MASKING TAPE,Till Date,Variance, SEALENT,Till Date,Variance,RUST SMASH,Till Date,Variance,Value,WIPER - BLADE,Value,WIPER KIT,Value
KA01,Nema Auto Spares,WKA0131628,KAM,25k-50k,0,0,18,0,,,1,,,0,,,3,,,0,,,5,,,0,,,2227.92,0,0,0,0,0,0,0,0,0,0,0,0,7,5147.61,0,0,8,2993.71,0,0,0,0,0,0,0,1,,,1,,,1,,,5,,,6,,,0,,,0,,,1,,,1,,,1,,,0,,,4,,,0,,,2,,,2,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0131937,BNG,25k-50k,0,0,6,0,,,0,,,0,,,3,,,1,,,5,,,1,,,412.7,1,709.32,0,0,0,0,0,0,1,843.75,0,0,1,359.37,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,1,,,5,,,6,,,0,,,0,,,1,,,1,,,0,,,1,,,4,,,0,,,0,,,2,,,1,,,1,,,1,,,0,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0156384,KOL,25k-50k,0,0,0,5,,,1,,,1,,,3,,,0,,,5,,,1,,,0,0,0,2,1962.5,0,0,2,2862.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,,,1,,,5,,,6,,,0,,,0,,,1,,,1,,,1,,,0,,,4,,,0,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,0,1,266.94,0,0
KA01,Nema Auto Spares,WKA0114980,RAJ,25k-50k,0,0,42,5,,,0,,,0,,,3,,,1,,,5,,,1,,,7537.18,1,453.12,4,3224.21,0,0,4,3623.81,0,0,0,0,7,5147.61,1,335.93,2,782.8,0,0,0,0,0,0,0,0,,,0,,,0,,,5,,,6,,,0,,,1,,,0,,,1,,,1,,,0,,,4,,,0,,,2,,,0,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0154539,GNG,25k-50k,2,445.76,0,0,,,0,,,0,,,3,,,0,,,0,,,1,,,0,0,0,1,782.81,0,0,1,850,1,843.75,0,0,1,1236.71,0,0,6,3868.72,0,0,0,0,0,0,0,0,,,1,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,0,,,1,,,4,,,0,,,2,,,2,,,0,,,1,,,1,,,1,,,0,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0153094,GNG,25k-50k,3,668.64,9,0,,,0,,,0,,,3,,,1,,,5,,,1,,,854.22,0,0,2,1840.62,0,0,0,0,1,843.75,0,0,0,0,0,0,2,992.18,0,0,0,0,0,0,1,1,,,0,,,1,,,5,,,6,,,0,,,0,,,0,,,1,,,1,,,0,,,4,,,0,,,2,,,2,,,0,,,1,,,1,,,1,,,0,,,2746.09,0,0,0,0
KA01,Nema Auto Spares,WKA0120157,KOL,25k-50k,2,445.76,2,5,,,0,,,0,,,3,,,0,,,5,,,1,,,138.98,0,0,0,0,0,0,0,0,0,0,0,0,2,3385.14,1,1118.75,2,782.8,0,0,0,0,0,0,0,0,,,0,,,1,,,5,,,6,,,0,,,0,,,0,,,1,,,1,,,0,,,4,,,1,,,2,,,0,,,0,,,1,,,1,,,1,,,0,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0128632,KOL,25k-50k,0,0,10,5,,,1,,,1,,,3,,,1,,,5,,,1,,,694.9,1,398.43,1,981.25,1,2450.78,1,1431.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,1,,,1,,,4,,,0,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0141111,HLY,25k-50k,0,0,0,5,,,1,,,1,,,3,,,0,,,5,,,1,,,0,0,0,0,0,0,0,0,0,1,1557.03,0,0,2,718.74,0,0,0,0,0,0,2,2329.68,0,0,3,0,,,1,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,1,,,1,,,4,,,0,,,2,,,0,,,1,,,1,,,1,,,1,,,1,,,5217.17,0,0,0,0
KA01,Nema Auto Spares,WKA0163153,KOL,25k-50k,0,0,0,5,,,1,,,1,,,3,,,1,,,5,,,0,,,0,1,453.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,,,1,,,5,,,6,,,0,,,1,,,1,,,1,,,1,,,1,,,4,,,1,,,2,,,2,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
